COURSES,TITLE,AUTHOR,ISBN,2018 - UP EDITION,,COPIES,Sub Total,Warehouse,SG Publisher
,"Kotch's Maternal and Child Health: Problems, Programs, and Policy in Public Health",Kirby ,9781284200256 ,2022," ₱8,868.00 ",5,"PHP 44,340.00",SG,Jones & Bartlett
,Maternal-Neonatal Nursing Made Incredibly Easy (Incredibly Easy! Series®),Evans,9781975120801,2020," ₱6,438.00 ",5,"PHP 32,190.00",SG,Lippincott Williams & Wilkins
,"Introductory Maternity & Pediatric Nursing, International Edition",Hatfield,9781975173821,2022," ₱11,588.00 ",5,"PHP 57,940.00",SG,Lippincott Williams & Wilkins
Nursing Informatics,Nursing Informatics and the Foundation of Knowledge,"Dee McGonigle, Kathleen Mastrian",9781284283501,2022," 1,195.00 ",5,"PHP 5,975.00",Philippines,
,"Essentials Of Nursing Informatics, 7E",Saba,9781260456783,2021," ₱9,358.00 ",5,"PHP 46,790.00",SG,McGraw-Hill
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
"Nursing Research I (2 units lecture, 1 unit lab",Essentials of Nursing Research,"Denise Polit, Cheryl Beck",9781975189815,2022,948,5,"PHP 4,740.00",Philippines,
,"Research In Nursing, Midwifery And Allie                    ",Richardson-Tench/Nicholson                                  ,9780170452007,2022," ₱9,808.00 ",5,"PHP 49,040.00",SG,Cengage
,Advanced Nursing Research: From Theory to Practice,Tappen ,9781284231755 ,2023," ₱12,678.00 ",5,"PHP 63,390.00",SG,Jones & Bartlett
,Statistics for Nursing Research: A Workbook for Evidence-Based Practice 3ed,"Grove, Susan K.",9780323654111,2020," ₱7,078.00 ",5,"PHP 35,390.00",SG,Elsevier
,Nursing Research - Text and Study Guide Package: Methods and Critical Appraisal for Evidence-Based Practice 10ed,"LoBiondo-Wood, Geri",9780323763820,2022," ₱13,408.00 ",5,"PHP 67,040.00",SG,Mosby
"Care of Clients with Problems in Oxygenation, Fluid & Electrolyte, Infectious, Inflammatory & Immunologic Response, Cellular Aberration, Acute & Chronic (8 units lec, 6 units lab)",,,,2022,,,,,
,Brunner & Suddarth's Textbook of Medical Surgical Nursing Vol. 1 & 2 + Study Guide for Brunner & Suddarth's Textbook of Medical-Surgical Nursing (Strictly Set),"Janice L. Hinkle, Kerry H. Cheever",8888822002141,,3898,5,"PHP 19,490.00",Philippines,
,Lewis's Medical-Surgical Nursing - 2-Volume Set: Assessment and Management of Clinical Problems 11ed,"Harding, Mariann M.",9780323677042,2020," ₱19,738.00 ",5,"PHP 98,690.00",SG,Mosby
,"Medical-Surgical Nursing: Concepts for Interprofessional Collaborative Care, 2-Volume Set 10ed","Ignatavicius, Donna D.",9780323749787,2021," ₱19,738.00 ",5,"PHP 98,690.00",SG,Elsevier
,Medical-Surgical Nursing:  7ed,"Linton, Adrianne Dill",9780323676694,2020," ₱9,008.00 ",5,"PHP 45,040.00",SG,Saunders
,Medical-Surgical Nursing: Concepts & Practice 5ed,"Stromberg, Holly K.",9780323810227,2023," ₱11,268.00 ",5,"PHP 56,340.00",SG,Saunders
"Community Health Nursing II: Population Groups and Community as Clients (2 units lec, 1 unit lab)",,,,2020,,,,,
,"Community and Public Health Nursing, Philippine Edition","Mary A. Nies, Melanie Mcewen, Earl Francis R Sumile (Adapting Editor) ",9789814865036,," 1,795.00 ",5,"PHP 8,975.00",Philippines,
,2,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
"Care of the Older Person (2 units lec, 1 unit lab)",Gerontologic Nursing,"Sue E. Meiner, Jennifer J. Yeager",9789814920384,2019," 1,478.00 ",5,"PHP 7,390.00",Philippines,
,Ebersole and Hess' Gerontological Nursing & Healthy Aging:  6ed,"Touhy, Theris A.",9780323751643,2022," ₱8,798.00 ",5,"PHP 43,990.00",SG,Elsevier
,Gerontological Nursing: A Holistic Approach to the Care of Older People 1ed,"Vafeas, Caroline ",9780729543675,2022," ₱7,078.00 ",5,"PHP 35,390.00",SG,Elsevier
,Basic Geriatric Nursing:  7ed,"Williams, Patricia A.",9780323554558,2020," ₱6,218.00 ",5,"PHP 31,090.00",SG,Mosby
,Palliative Care Nursing: Caring for Suffering Patients,Ouimet Perrin ,9781284209822 ,2023," ₱9,748.00 ",5,"PHP 48,740.00",SG,Jones & Bartlett
Nursing Research II (RLE 2),Essentials of Nursing Research,"Denise Polit, Cheryl Beck",9781975189815,2022,948,5,"PHP 4,740.00",Philippines,
,"Research In Nursing, Midwifery And Allie                    ",Richardson-Tench/Nicholson                                  ,9780170452007,2022," ₱9,808.00 ",5,"PHP 49,040.00",SG,Cengage
,Advanced Nursing Research: From Theory to Practice,Tappen ,9781284231755 ,2023," ₱12,678.00 ",5,"PHP 63,390.00",SG,Jones & Bartlett
,Statistics for Nursing Research: A Workbook for Evidence-Based Practice 3ed,"Grove, Susan K.",9780323654111,2020," ₱7,078.00 ",5,"PHP 35,390.00",SG,Elsevier
,Nursing Research - Text and Study Guide Package: Methods and Critical Appraisal for Evidence-Based Practice 10ed,"LoBiondo-Wood, Geri",9780323763820,2022," ₱13,408.00 ",5,"PHP 67,040.00",SG,Mosby
"Care of Clients with Problems in Nutrition &GI Metabolism & Endocrine. Perception & Coordination, Acute & Chronic (5 units lec, 4 units lab)",,,,2022,,,,,
,Brunner & Suddarth's Textbook of Medical Surgical Nursing Vol. 1 & 2 + Study Guide for Brunner & Suddarth's Textbook of Medical-Surgical Nursing (Strictly Set),"Janice L. Hinkle, Kerry H. Cheever",8888822002141,,3898,5,"PHP 19,490.00",Philippines,
,Lewis's Medical-Surgical Nursing - 2-Volume Set: Assessment and Management of Clinical Problems 11ed,"Harding, Mariann M.",9780323677042,2020," ₱19,738.00 ",5,"PHP 98,690.00",SG,Mosby
,"Medical-Surgical Nursing: Concepts for Interprofessional Collaborative Care, 2-Volume Set 10ed","Ignatavicius, Donna D.",9780323749787,2021," ₱19,738.00 ",5,"PHP 98,690.00",SG,Elsevier
,Medical-Surgical Nursing:  7ed,"Linton, Adrianne Dill",9780323676694,2020," ₱9,008.00 ",5,"PHP 45,040.00",SG,Saunders
,Medical-Surgical Nursing: Concepts & Practice 5ed,"Stromberg, Holly K.",9780323810227,2023," ₱11,268.00 ",5,"PHP 56,340.00",SG,Saunders
"Care of Clients with Maladaptive Patterns of Behavior, Acute & Chronic (4 units lec, 4 units lab)",,,,2022,,,,,
,Brunner & Suddarth's Textbook of Medical Surgical Nursing Vol. 1 & 2 + Study Guide for Brunner & Suddarth's Textbook of Medical-Surgical Nursing (Strictly Set),"Janice L. Hinkle, Kerry H. Cheever",8888822002141,,3898,5,"PHP 19,490.00",Philippines,
,Lewis's Medical-Surgical Nursing - 2-Volume Set: Assessment and Management of Clinical Problems 11ed,"Harding, Mariann M.",9780323677042,2020," ₱19,738.00 ",5,"PHP 98,690.00",SG,Mosby
,"Medical-Surgical Nursing: Concepts for Interprofessional Collaborative Care, 2-Volume Set 10ed","Ignatavicius, Donna D.",9780323749787,2021," ₱19,738.00 ",5,"PHP 98,690.00",SG,Elsevier
,Medical-Surgical Nursing:  7ed,"Linton, Adrianne Dill",9780323676694,2020," ₱9,008.00 ",5,"PHP 45,040.00",SG,Saunders
,Medical-Surgical Nursing: Concepts & Practice 5ed,"Stromberg, Holly K.",9780323810227,2023," ₱11,268.00 ",5,"PHP 56,340.00",SG,Saunders
"Nursing Care of Clients with Life Threatening Conditions/acutely ill/multi-organ problems/high acuity & emergency situations, Acute and chronic (4 units lec, 5 units lab)",,,,2022,,,,,
,Brunner & Suddarth's Textbook of Medical Surgical Nursing Vol. 1 & 2 + Study Guide for Brunner & Suddarth's Textbook of Medical-Surgical Nursing (Strictly Set),"Janice L. Hinkle, Kerry H. Cheever",8888822002141,,3898,5,"PHP 19,490.00",Philippines,
,Lewis's Medical-Surgical Nursing - 2-Volume Set: Assessment and Management of Clinical Problems 11ed,"Harding, Mariann M.",9780323677042,2020," ₱19,738.00 ",5,"PHP 98,690.00",SG,Mosby
