Benedicto College ,,,,,,
Foreign References ,,,,,,
"As of March 16, 2023",,,,,,
,,,,,,
AUTHOR,TITLE,COPYRIGHT ,PUBLISHER,NO. OF COPIES,,
,,,,,,
300-399,,,,,,
"Ember, Melvin","Human Evolution and Culture: Highlights of Anthropology, 6th ed.",2011,Pearson Education ,1,,
"Holmes, Richard (ed.)",Fundamentals of Sociology ,1988,"Holt, Rinehart and Winston",1,,
"Kotak, Conrad Phillip ","Anthropology: The Exploration of Human Diversity, 8th ed.",2000,McGraw-Hill ,1,,
"Preston, Frederick W.","Sociology: A Contemporary Approach, 3rd ed.",1989,Allyn & Bacon,1,,
"Schaefer, Richard T.","Sociology, 9th ed.",2005,McGraw-Hill ,3,,
"Czerny, Michael","Getting Started on Social Analysis in Canada, 2nd ed.",1988,Between The Lines,1,,
"Burton, Graeme",Media and Society: Critical Perspectives ,2005,McGraw-Hill ,1,,
"Baran, Stanley J.","Introduction to Mass Communication, 6th ed.",2010,McGraw-Hill ,1,mass-com,NEED COPY(CHED)
"Bryant, Jennings","Fundamentals of Media Effects, 1st ed.",2002,McGraw-Hill ,1,,
"Dominick, Joseph R.","The Dynamics of Mass Communications, 8th ed.",2005,McGraw-Hill ,1,mass-com,NEED COPY(CHED)
"Dominick, Joseph R.","The Dynamics of Mass Communications, 10th ed.",2009,McGraw-Hill ,1,mass-com,NEED COPY(CHED)
"Jones, Steven G.",Cybersociety: Computer-Mediated Communication and Community ,1995,Sage Publications ,1,,
"Briggs, Adam (ed.)","The Media: An Introduction, 2nd ed.",2002,Pearson Education ,1,,
"Griffin, Em","A First Look at Communication Theory, 8th ed.",2013,McGraw-Hill ,1,,
"Rivers, William L.",The Mass Media Reporting...Writing... Editing ,1964,Harper & Row,1,,
"Roy, Barun",Enter the World of Mass Media,2009,Pustak Mahal,1,,
"Fang, Irving",A History of Mass Communication Six Information Revolutions,1997,Butterworth-Heinemann,1,mass-com,NEED COPY(CHED)
"Roane, Susan",The Secrets of Savvy Networking ,1993,"Warner Books, Inc.",1,,
"Sacco, Vincent F. (ed.)",Deviance: Conformity and Control in Canadian Society ,1988,Prentice-Hall Canada ,1,,
"Bridgestock, Martin","Science, Technology and Society: An Introduction ",2000,Cambridge University Press,1,,
"Easterbrook, Gregg","The Progress Paradox, 1st ed.",2003,Random House,1,,
"McGinn, Robert E.","Science, Technology, and Society ",1977,Lewis Thomas ,1,,
"Ackerman, Diane",The Human Age,2014,"W.W. Norton & Company, Inc.",1,,
"Friday, Nancy",The Power of Beauty,1996,Harper Collins ,1,,
"Robinson, Randall ",The Reckoning: What Blacks Owe To Each Other,2002,Penguin Group,1,,
"Baker, Maureen",The Family: Changing Trends in Canada ,1984,McGraw-Hill ,1,,
"Landes, Ronald G.","The Canada Polity: A Comparative Introduction, 2nd ed.",1987,Prentice-Hall,1,,
"Richard, Theresa M. (ed.)",Foundations of Democracy,1998,Center for Civic Education ,1,,
"Daschle, Tom",Like No Other Time,2003,Crown Publishers ,1,,
"Baumol, William J.","Economics: Principles and Policy, 8th ed.",2000,"Harcourt, Inc.",1,,
"Hubbard, R. Glenn","Economics, 4th ed.",2013,Pearson Education ,1,,
"Lipsey, Richard G.","Economics, 5th ed.",1985,Harper & Row Publications ,1,,
"Lipsey, Richard G.","Economics, 6th ed.",1988,Harper & Row,1,,
"Slavin, Stephen L.","Economics, 4th ed.",1996,Irwin Book Team,1,,
"Haitani, Kanji",Comparative Economic Systems Organizational and Managerial Perspectives ,1986,Prentice-Hall ,2,,
"Mayo, Herbert B.",Basic Finance ,2012,Cengage Learning ,1,,
"Toder, Aaron","Economics in Everyday Life, 2nd ed.",2007,Lang Road Associates,1,,
"Kotler, Philip ",Confronting Capitalism,2015,AMACOM,1,,
"Glassman, Alan M.",Industrial Relations ,1985,"Scott, Foresman and Company ",1,,
"Besley, Scott",Basic Finance ,2013,Cengage Learning ,1,,
"Mayo, Herbert B.","Basic Finance, 9th ed.",2007,Thomson ,1,,
"Mayo, Herbert B.",Basic Finance ,2012,Cengage Learning ,1,,
"Lanchester, John",How To Speak Money,2014,Faber & Faber Ltd.,1,,
"Smith, Philip ",The Trust-Builders: The Remarkable Rise of Canada Trust,1989,Macmillan of Canada ,1,,
"Poffenberger, Mark",Communities and Forest Stewardship ,2006,Asia Forest Network ,1,,
"Durrell, Lee",State of the Ark,1986,Gaia Books,1,,
"Krugman, Paul R.","International Economics, 5th ed.",2000,Addison-Wesley Publishing ,1,,
"Getzen, Thomas E.",Health Economics: Fundamentals of Flow of Funds,1997,John Wiley & Sons,1,,
"Mancini, Marc","Selling Destinations: Geography for the Travel Professional, 5th ed.",2010,Delmar ,1,,
"MacMillan, Alexander ","Micro Economics, 3rd ed.",1989,Prentice-Hall ,1,,
"McConnell, Campbell R.","Microeconomics, 4th ed.",1987,McGraw-Hill ,1,,
"Walstad, William B.","Study Guide to Accompany: Micro Economics, 7th ed.",1996,McGraw-Hill ,1,,
"Dornbusch, Rudiger ",Macroeconomics: 12th ed.,2014,McGraw-Hill ,2,,
"Dornbusch, Rudiger ","Macroeconomics, 10th ed.",2008,McGraw-Hill ,2,,
"McConnell, Campbell R.","Macroeconomics, 4th ed.",1987,McGraw-Hill ,1,,
"MacMillan, Alexander ","Macroeconomics, 3rd ed.",1989,Prentice-Hall ,1,,
"Slavin, Stephen L.","Macroeconomics, 8th ed.",2008,McGraw-Hill ,1,,
"Caputo, Tullio",Law and Society: A Critical Perspective,1989,Harcourt Brace ,1,,
"Browne, M. Neil",Business Law,2009,McGraw-Hill ,1,,
"Asplund, Thomas","The Law and Business Administration in Canada, 5th ed.",1987,Prentice-Hall ,1,,
"Gordon, Barbara",Jennifer Fever Older Men/ Younger Women,1988,Harper & Row,1,,
"Girard, Linda W.",Who Is a Stranger and What Should I Do?,1985,Albert Whitman & Company ,1,,
"Zimbelman, Mark F.","Forensic Accounting, 4th ed.",2012,South-Western Cengage Learning ,1,,
"Cunningham, William P.","Environmental Science, 7th ed.",2003,McGraw-Hill ,1,,
"Enger, Eldon D.","Environmental Science, 9th ed.",2004,McGraw-Hill ,1,,
