"Dela Cruz, Arleigh Ross D.",Disciplines and Ideas in the Social Sciences,2016,Phoenix Publishing ,1,
"Pawilen, Greg Tabios",Disciplines and Ideas in the Social Sciences ,2019,C & E Publication ,1,
"Abadingo, Lourdes",Disciplines and Ideas in the Applied Social Sciences ,,,1,
,,,,,
"Esguerra, Jose Perico H.",Physical Science: Teaching Guide,2016,CHED,1,
"Baguio, Sol Saranay M.",Breaking Through General Chemistry,2017,C & E Publishing ,1,
"Lim, Patrick John Y.",The Study of Matter,2016,USC Press,1,
"Nucum, Zenaida T.",General Chemistry 1,2017,C & E Publishing ,1,
"Davies, Lucille",Chemistry 12,2008,Thomson Nelson,1,
"Rodriguez, Myrna S.",General Chemistry 2,2016,CHED,2,
"Patalinghug, Wyona C.",General Chemistry 1,2016,CHED,2,
"Maquiling, Joel T.",General Physics 2,2016,CHED,3,
"Esguerra, Jose Perico H.",General Physics 1,2016,CHED,2,
"Reyes, Cristopher G.",General Physics 1,2018,Mindshapers,1,
"Hirsch, Alan J.",Physics 12,2008,Thomson Nelson,1,
"Caintic, Helen E.",General Physics 2,2018,C & E Publishing ,1,
,,,,,
,,,,,
"Brawner, Dalisay G.",UNDERSTANDING the SELF,2018,C & E Publishing ,1,
"Magalona, Ethel D.", UNDERSTANDING THE SELF: DEVELOPING LIFE SKILLS,2018,Mindshapers,1,
"Leano, Roman D.",ETHICS FOR COLLEGE: CHED CURICULUM,2018,Mindshapers,1,
"Nabor-Nery, Maria Imelda P.",ETHICS FOR COLLEGE: CHED CURICULUM,2003,Katha Publishing ,1,
,,,,,
"Cayanan, Mark Anthony R.","Fine Lines: Writing Poetry, Fiction, and Drama",2016,Sibs Publishing ,1,
"Aguila, Augusto Antonio A.",Wording the World: The Art of Creative Writing,2017,C & E Publishing ,2,
"Enricuso, Adonis Ranos",Way with Words,2017,SoLINE Publ.,1,
"Solmerano, Ernesto Thaddeus M.",Creative Writing,2017,Fastbooks Publ.,1,
"Ariola, Mariano M.","Trends, Networks, and Critical Thinking Skills ",2017,Unlimited Books Publ.,3,Teacher's Copy Only
,,,,,
,,,,,
Creative NON-FICTION,,,,,
"Ariola, Mariano M.",Creative NON-FICTION,2018,Unlimited Books Publ.,1,
"Villanueva, Martin V.",Narratives in and of the  MIND; A Treatise on Creative Nonfiction,2016,Sibs Publishing ,2,
"Moratilla, Noel Christian A.","CLAIMING SPACES: UNDERSTANDING, READING, AND WRITING CREATIVE NONFICTION",2016,Phoenix Publ.,2,
"Biligan, Ramir Jimbert G.",Reinventing Life,2016,St. Augustine Publ.,1,
"Aguila, Augusto Antonio A.",Telling the Truth: The Art of Creative Nonfiction,2017,C & E Publ.,2,
"Sabanpan-Yu, Hope",THE ART OF TRUTH,2016,SoLINE Publ.,1,
,,,,,
"Rea, Maria Angelica D.","GENERAL BIOLOGY 1, 1st ed.",2017,Rex Book Store,1,
"Reyes, Juan Apolinario C.",BIOLOGY 2,2019,Unlimited Books Publ,1,
